run_num,tau,seed,num_in,epochs,batchsize,learnrate,reg1,reg2,node1,node2,weight_init,fun1,fun2,trloss,teloss,shloss,testrate,showrate,t1,s1,t2,s2,t3,s3,t4,s4,t5,s5,t6,s6,t7,s7
1200,0.1,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.05590246990323067,119.39039365705852,20.230708889033615,0.8976421636615811,0.8907807308970099,0.8961165048543689,0.9098837209302324,0.8951456310679612,0.8808139534883721,0.9024271844660194,0.9156976744186046,0.9058252427184466,0.9709302325581396,0.9019417475728156,0.936046511627907,0.8898058252427185,0.8517441860465116,0.8922330097087379,0.7703488372093024
1201,0.1,1,100,1600,300,0.012,0.001,0.001,25,25,1,selu,sigmoid,0.053750723600387566,116.21351499648857,19.299458465816024,0.8947988904299583,0.8953488372093024,0.8883495145631068,0.9186046511627908,0.8927184466019418,0.8779069767441859,0.8898058252427185,0.8895348837209303,0.8961165048543689,0.9622093023255814,0.9004854368932039,0.9302325581395348,0.8985436893203883,0.8953488372093024,0.8975728155339806,0.7936046511627907
1202,0.1,1,100,1600,300,0.01,0.001,0.001,25,25,1,selu,sigmoid,0.05385669320821762,116.1955183839887,19.414811085472795,0.8947295423023578,0.893687707641196,0.887378640776699,0.9273255813953488,0.8922330097087379,0.8808139534883721,0.8927184466019418,0.8924418604651163,0.9072815533980584,0.9651162790697676,0.8927184466019418,0.9331395348837208,0.8980582524271845,0.8837209302325582,0.8927184466019418,0.7732558139534884
1203,0.1,1,100,1600,300,0.015,0.001,0.001,25,25,1,selu,sigmoid,0.054011207073926926,116.35618943102808,19.28804887269909,0.8850901525658808,0.8833056478405314,0.8655339805825243,0.8866279069767442,0.8810679611650486,0.8575581395348837,0.8883495145631068,0.8924418604651163,0.8868932038834951,0.9476744186046512,0.8771844660194175,0.9215116279069768,0.8883495145631068,0.875,0.908252427184466,0.8023255813953488
1204,0.1,1,100,1600,300,0.02,0.001,0.001,25,25,1,selu,sigmoid,0.054076991975307465,116.98607763950079,19.28695822365858,0.8737170596393897,0.8770764119601329,0.8728155339805825,0.8866279069767442,0.8757281553398059,0.8459302325581395,0.8713592233009708,0.8837209302325582,0.8805825242718447,0.9563953488372092,0.8524271844660194,0.9127906976744186,0.8791262135922329,0.8604651162790697,0.8839805825242718,0.7936046511627907
1204,0.1,1,100,1600,300,0.015,0.001,0.01,25,25,1,selu,sigmoid,0.056284885853528976,119.56615068287836,20.030648946481733,0.8814840499306519,0.8849667774086377,0.8854368932038835,0.9040697674418604,0.8878640776699029,0.8808139534883721,0.8854368932038835,0.9040697674418604,0.8854368932038835,0.9680232558139537,0.8650485436893204,0.9098837209302324,0.8757281553398059,0.8372093023255814,0.8854368932038835,0.7906976744186046
1204,0.1,1,100,1600,300,0.013000000000000001,0.001,0.001,25,25,1,selu,sigmoid,0.0537707582116127,116.26251270946587,19.319543007665228,0.8925104022191402,0.8936877076411961,0.8825242718446602,0.9156976744186046,0.8927184466019418,0.8720930232558141,0.8907766990291263,0.8924418604651163,0.9024271844660194,0.9622093023255814,0.8830097087378641,0.9244186046511628,0.8961165048543689,0.8924418604651163,0.9,0.7965116279069767
1205,0.1,1,100,1600,300,0.011,0.001,0.001,25,25,1,selu,sigmoid,0.05372330918908119,116.19292591982742,19.332431566588067,0.8959778085991679,0.8974252491694352,0.8912621359223301,0.9302325581395348,0.8941747572815534,0.8808139534883721,0.8927184466019418,0.8953488372093024,0.9024271844660194,0.9622093023255814,0.8966019417475728,0.9331395348837208,0.9004854368932039,0.8924418604651163,0.8941747572815534,0.7877906976744186
1206,0.5,1,100,1600,300,0.012,0.001,0.001,25,25,1,selu,sigmoid,0.11168933659791946,243.16028899979068,40.168560795094926,0.4803051317614425,0.4858803986710964,0.4849514563106796,0.4941860465116279,0.4800970873786408,0.4912790697674418,0.503883495145631,0.5232558139534884,0.4640776699029126,0.625,0.46262135922330105,0.4680232558139535,0.4737864077669903,0.4215116279069768,0.4927184466019418,0.3779069767441861
1207,0.5,1,100,1600,300,0.01,0.001,0.001,25,25,1,selu,sigmoid,0.11060813814401628,241.17750718873887,40.27720652809894,0.4790568654646324,0.4725913621262458,0.4878640776699029,0.4796511627906977,0.4878640776699029,0.49709302325581395,0.4898058252427184,0.5232558139534884,0.4796116504854369,0.5930232558139535,0.4475728155339806,0.43895348837209297,0.4839805825242718,0.4127906976744186,0.4766990291262136,0.3633720930232558
