run_num,tau,seed,num_in,epochs,batchsize,learnrate,reg1,reg2,node1,node2,weight_init,fun1,fun2,trloss,teloss,shloss,testrate,showrate
1200,0.1,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.05590246990323067,119.39039365705852,20.230708889033615,0.8976421636615811,0.8907807308970099
1201,0.05,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.03571053966879845,78.06852762245215,13.12090279680428,0.9400832177531208,0.9406146179401994
1202,0.1,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.05590246990323067,119.39039365705852,20.230708889033615,0.8976421636615811,0.8907807308970099
1203,0.15000000000000002,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.072282575070858,152.88156106253004,25.74930765001104,0.8468099861303745,0.8421926910299004
1204,0.2,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.08606236428022385,182.04332785506267,30.505932468092237,0.7989597780859917,0.7960963455149501
1205,0.25,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.09751373529434204,206.51789299520013,34.540719557415514,0.751386962552011,0.7533222591362126
1206,0.3,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.10639329254627228,226.39648346965717,37.614488779367115,0.703259361997226,0.709717607973422
1207,0.35000000000000003,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.11281229555606842,242.26804823615475,40.02259733798904,0.6477808599167822,0.6399501661129569
1208,0.4,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.1175197884440422,252.79785419944514,41.79823572718692,0.5984049930651872,0.5955149501661129
1209,0.45,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.12083417177200315,260.02156093800147,42.93077468761475,0.5497226074895979,0.5398671096345515
1210,0.5,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.12287618219852448,263.6262331263719,43.731205760208596,0.4988904299583911,0.4975083056478405
1211,0.55,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.12243914604187013,262.69310081169493,43.57689915340824,0.4461858529819695,0.4472591362126246
1212,0.6000000000000001,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.12007301300764085,257.7648101588004,42.66792163491156,0.3937586685159501,0.3899501661129568
1213,0.6500000000000001,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.11565329134464265,247.02077980433845,41.13838492929641,0.3464632454923717,0.3442691029900332
1214,0.7000000000000001,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.10955708473920822,235.36712580560246,39.02880885947228,0.3004160887656034,0.29775747508305644
1215,0.7500000000000001,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.10151614993810654,219.81640980551566,36.33261157240276,0.2530513176144244,0.24584717607973425
1216,0.8,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.09120210260152817,197.35574819308758,32.8056085075959,0.2047156726768377,0.19975083056478407
1217,0.8500000000000001,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.07813732326030731,170.479262452917,28.264493688047658,0.15804438280166436,0.15406976744186046
1218,0.9000000000000001,1,100,1600,300,0.006999999999999999,0.001,0.01,20,20,1,selu,sigmoid,0.06470517814159392,142.07176771828534,23.584543106561505,0.11324549237170595,0.1096345514950166
1219,0.9500000000000001,1,100,1600,300,0.007,0.001,0.01,20,20,1,selu,sigmoid,0.045866258442401886,97.45553993033722,16.326107571232306,0.06130374479889043,0.06519933554817275
