run_num,seed,epochs,batchsize,learnrate,reg1,reg2,num_in,node1,node2,weight_init,fun1,fun2,trloss,teloss,shloss,trainPE,testPE,showPE,trainCC,testCC,showCC,TT,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85
322,3,1600,300,0.1,0.001,0.001,85,20,20,1,sigmoid,sigmoid,0.296233,0.320112,0.309638,0.8700319999999999,0.8489700000000001,0.826334,0.933876,0.921608,0.912427,45.190591,-0.026092057748,0.007565602602,0.000271812248,-0.000813350077,1.7850068466999998,0.000493687744,0.000778217126,-0.000378261553,0.0008676573119999999,0.07543885043200001,0.0015209855110000002,0.001551102622,-0.000491725755,-0.002307217535,0.000750758897,0.000472142918,5.4625911e-05,0.0007816591700000001,-0.000174008472,0.159297877856,-0.000494712797,0.000385513939,0.0009538942,0.000498689398,-0.055653335793,-0.000656242927,-0.000392165363,0.003821104482,0.002208454692,0.004540261397,-0.002483348418,-0.000550797375,-0.002850212057,0.0020810168520000003,0.003548847084,-0.001636692755,-0.001837974622,0.002476828933,-0.002589793884,0.6013954739490001,0.001915272458,0.006720550425,0.000225987843,0.01216280625,0.28203835977,0.002889030527,-0.004253385572,-0.000977854766,-0.000120915339,0.672376726355,-0.002404717525,0.021923974472,0.006667071703999999,0.00909979239,-0.102434539369,0.005720142847,-0.005394691676000001,0.004700706374,0.025230915352,0.035423796092,-0.000359602148,-0.008043930171,0.000311549853,0.002052948511,0.19839862468,-0.0014769124059999998,-0.007018189212,0.00425746558,0.022580049832,-0.012660609758,0.0007223290820000001,0.0048434620260000005,-0.0096439697,-0.012000196081,0.045438423287000006,0.003321389443,-0.012135672250000002,0.007969951955999999,-0.00204937106,0.153536268643,-0.000749849764,-0.003382893346,-0.009808322182,0.040393479701,0.10386573204
323,4,1600,300,0.1,0.001,0.001,85,20,20,1,sigmoid,sigmoid,0.30435300000000004,0.330295,0.312992,0.8572360000000001,0.838649,0.822874,0.9335030000000001,0.9161450000000001,0.9118719999999999,45.396511,0.156688467367,0.005662592526999999,0.0025565439679999997,-0.002881555036,1.90133527347,0.0013225374900000001,0.00035275364,0.001298804821,0.002579452503,0.023885214186,-0.000282943906,0.001153641189,-0.000274758478,0.0009692424709999999,0.015193758524,0.000436234654,0.001000711385,0.002464177985,-0.002351681452,0.11771714747199999,-0.002228399689,-0.0005714997320000001,-0.001251809366,0.000829928109,0.0014165821489999998,-0.000393058128,0.00135567517,-0.000844608369,0.0035361841519999998,0.012064314397,-0.000443263931,-0.000501876531,0.0008612676089999999,0.002018614672,0.021832248462,-0.001846211846,0.0006831310120000001,0.002365837244,-0.0062436829989999994,0.4183209134000001,0.031508627215,-0.016406821312,0.001589038272,0.045284010470000004,0.62383588297,-0.000696312067,-0.0017479443549999999,-0.000470385737,-0.011344118443,0.717676120145,0.010084973282,0.018135942652,0.002503834349,0.0015067230979999998,0.024518822319999998,0.016421184975,0.001424532899,-0.0029370270789999997,-0.016506848333,0.284648526992,0.001046785802,-0.002084781349,-0.001349767404,-0.0008361785769999999,-0.201884992421,0.000546339982,-0.0031353483380000004,0.002951527206,-0.022768631671000003,-0.031419475846,-0.007194968190000001,0.003656268739,0.010943606163,0.022514108735000003,0.07499674450299999,-0.0036112012079999997,0.010658116479,-0.006222465890000001,-0.029073196782999997,-0.316791783486,-0.000360640631,0.015616661305,-0.000448750648,0.351238005928,0.260137692027
324,5,1600,300,0.1,0.001,0.001,85,20,20,1,sigmoid,sigmoid,0.296498,0.318225,0.31147800000000003,0.869864,0.850856,0.8243809999999999,0.933972,0.922713,0.911957,45.207632,0.14876073252900002,-0.002740822134,-0.002467526938,0.003861788078,1.969989176307,-0.002416394293,-0.001287356987,-0.001846252492,0.0005646714499999999,0.05886523681,-0.004435303334,0.0008961594650000002,-0.00090435756,-0.000913099868,-0.000493916999,0.001704731398,-0.004485873399,-0.0006757130610000001,-6.4852132e-05,0.204187571071,-0.00123317874,-0.000587164308,-0.003984506408,-0.001610148781,0.054675429378,0.001922908256,0.002824151281,-0.000199717985,0.000461631455,-0.014193028952,0.003010311763,-0.000965257732,0.000226058191,0.000723225512,-0.008902197687000001,0.003736634373,-0.000733334152,0.001626882717,-0.000495258952,0.55406361978,0.0474946129,0.021817161955,0.002240503766,-0.037925137207,0.864265731403,-0.001208772737,0.008331828046,-0.002563016939,-0.007751468636,0.642267142023,-0.013646507834999998,0.004525541586,0.0060310363100000005,0.021067883204,-0.06273077526000001,0.008260927296,-0.001913253318,0.003612500017,0.001803552599,0.092625506222,-0.0004952445090000001,-0.000457462572,-0.002605596524,0.012786781149,-0.332216684707,-0.001661305449,0.01127257717,0.000989397198,0.024384633397,-0.279155944075,0.004555756426,-0.004721725027,0.004043204577000001,0.007246828837999999,0.037338035522,-0.004544733957,-0.043347280339,-0.000812067532,0.002994500234,-0.4441043189060001,-0.001994764432,0.005569626976,0.006219065249,0.200452372432,0.15853821174799998
325,6,1600,300,0.1,0.001,0.001,85,20,20,1,sigmoid,sigmoid,0.296714,0.31932699999999997,0.311864,0.8695879999999999,0.8496610000000001,0.824141,0.933782,0.9219139999999999,0.911877,45.208593,0.310203403234,-0.010621560811999999,0.000525686509,0.008181921731,2.030869245529,0.0005599315709999999,0.000870670084,-0.001954650666,0.000732529574,0.016871642686999998,0.00116792431,0.0029335082069999996,0.002773137123,-0.002082989651,-0.016048883819,-0.000255121833,-6.3413929e-05,-0.003875673233,0.000383461867,0.041553586915,-0.0014345525169999998,-8.0789506e-05,0.0021093733629999997,-0.002090180326,0.25376993085099997,0.003406155884,-0.001358361582,0.0067488579079999994,-0.000160036509,0.014751089719999999,-0.002613547092,-0.000715157942,0.002258411168,0.0025906740189999998,0.044165428894,-0.005045876256,-0.000876538356,8.8734353e-05,-0.009659979268,0.958616844245,-0.013582881906,-0.009067378838,0.0014176718960000002,0.03351083817,0.914821784411,0.000316308379,0.00021847377700000002,-0.000413093117,-0.0027306063630000003,0.9838253515109999,0.005325053486,-0.002772213026,0.0009423669960000001,-0.000311705962,-0.199743198231,0.001191583595,-5.7005861e-05,0.008045233412,-0.016017316541,0.121620643019,0.00048036712899999996,-0.006153136542,-0.012107762741,-0.034556083514000004,0.45534541351499996,-0.000195793375,0.002970459306,0.000629860313,-0.027080745210000003,-0.057832981393,-0.0014265888690000001,-0.0017464308170000002,0.00082467084,-0.035465180832,0.13664008982999998,-0.000617160063,0.004428621009,0.004053554498,-0.002080587674,-0.004664352929,-0.003608358342,-0.0035987179729999996,0.010956821331,0.286722998933,1.186138851302
331,2,1600,300,0.5,0.001,0.001,85,25,25,1,sigmoid,sigmoid,0.541387,0.590498,0.488369,0.486986,0.481826,0.551902,,0.691268,0.901375,47.769586,0.016248699012,0.006611971185,-0.005483409789,-0.06280494058899999,-1.280564248562,-0.00432107092,-0.002586034767,0.004070856875,-0.085081590306,-0.083911381662,-0.000370892563,-0.008630434118,0.001821161955,0.00183749159,-0.057533956964,0.001684595332,0.006809116632,0.00030948556,0.004506322189,-0.135226557231,0.001640849847,0.0058242513,-0.005156660405,0.001884521917,0.028130129645,-0.003749484612,-0.002465188437,-0.000430934081,-0.019389230492,-0.015863713143,0.0008553129489999999,0.006419600254000001,-0.0072573123200000015,-0.010302019871,0.004763793782,-0.007499022143,-0.00565783114,0.0006784370970000001,-0.035494808108,-0.128431781029,0.004685683276,0.011529247143000002,-0.001975129891,-0.041491541878,0.233187687716,0.014531706703,0.005761031727,-0.138426259825,0.006662112993,-0.40130570318,-0.001736703745,0.00369914069,0.002970964249,-0.020162652912,0.33870995683300004,-0.003259480316,0.006215421973999999,0.01858271246,0.0065434928980000005,-0.097652100958,0.001045742638,-0.003880441189,-0.008563870365,0.002947593507,0.015606530011,-0.000370923297,-0.006008463995,0.001267356998,-0.172957683115,0.017442278198,-0.007337221942,0.007711073915999999,-0.013258546034,-0.004752928204,-0.11136124303,-0.004420647348,-0.016384621749,0.0013732195699999998,0.002541840875,0.068919866213,0.001189778991,-0.002852564644,0.0061059192020000005,-0.025093098238,0.101777388315
332,3,1600,300,0.5,0.001,0.001,85,25,25,1,sigmoid,sigmoid,0.665033,0.732525,0.65428,0.264915,0.204731,0.17011400000000002,,0.357096,0.808716,48.044525,-0.002560300553,0.004394725591,0.002603845047,-0.003329972737,-0.44908476434600003,0.006370530429999999,-0.0031541787150000003,0.004885403074,-0.007588312099999999,-0.006459317352999999,0.007552919976,0.00093988661,-0.003340740422,-0.004247657423,-0.0024566766269999997,-0.001730046169,0.000193296632,-0.002407604404,0.006116394918,0.004767526939,-0.001982595339,0.007459083837999998,0.000833631826,0.00655800796,0.027410987964,-0.004581265734,0.009069325635,0.013025844602999999,-0.00316715255,0.003283997865,0.000163247277,0.002371924031,-0.003520915351,0.0020915118049999997,0.039592968766,0.0006924655749999999,-0.004424211789,-0.0015355358230000002,-0.006100263929,0.044435689492,-0.001211676614,-0.006391727365999999,-0.011492315148,-0.029514340152,0.072639871389,-0.00035072144699999997,0.009679818725,0.005803448772,0.007581428558,0.204351879656,0.000669501339,-0.012892773292,-0.017203176527,-0.003457462968,-0.029266734341,0.009380141074,-0.018764279808,-0.011835273039,0.0028608824859999997,-0.001961757263,0.011382757287,0.003168019233,0.0032031091560000002,-0.024340160224000002,0.039002702122,0.003299477743,0.002066301448,-0.012957584778,0.000519614642,0.025156944857,-0.001424222361,0.011106513041,-0.016571306125,0.012046851139,0.086355122272,0.008971414229,0.003317228518,0.0055774977000000005,0.031624049015,-0.029151454102,0.007536161163,0.007652386191,0.009156328693,0.032995166257000004,-0.047555230292
341,2,1600,300,0.2,0.001,0.001,85,25,25,1,sigmoid,sigmoid,0.312226,0.339432,0.320935,0.8498450000000001,0.82876,0.813423,0.931565,0.910791,0.910302,47.608526,0.062268204987,0.011197381453,-0.008423361977,0.000506960072,2.165335501943,-0.007311619052999999,0.001085597111,-0.004116144642,-0.00290301803,0.000770754879,-0.000357302983,0.007497922118,-0.001791133836,0.007341337277,-0.017904272935,0.008203475578,-0.000972682735,0.003439367815,-0.003565401654,0.129023227575,0.000481501588,0.0020034091010000003,-0.000989317029,-0.003449070307,0.213447834282,-0.007715183044,-0.000648140375,0.003986366526,0.000983229978,0.007187109573999998,-0.001263335896,0.002034309719,-0.004196888834,0.006696912193999999,-0.009487406933,0.001640336688,0.002140649046,0.000592433947,-0.000281521868,0.404052859172,0.015550390418,0.006780939276,-0.000257303057,-0.016774451093999998,-0.752803176641,-0.002001112593,0.004812768893,0.003786843563,-0.000242823402,0.581521753754,0.010861002499,0.001849313666,0.001780570718,0.000893617182,-0.029515823948,-0.004628073518,0.003406080218,-0.008580609358,-0.005659004873,0.014339980985,0.002973995564,-0.002204124829,-0.0070420982909999985,-0.019597245646,0.142867635802,0.00010793543,0.005395712622,-0.006166375575,-0.17100082191500002,0.189638143638,0.005109439637,0.00152258366,-0.011847659505,-0.009482108971,0.012204236451,0.009053354251,-0.006983150943999999,-0.001800205326,-0.025690863341,-0.024038067753,-0.004012345137,-0.005060998723,-0.002438847242,0.146713389616,0.840292856097
342,3,1600,300,0.2,0.001,0.001,85,25,25,1,sigmoid,sigmoid,0.324929,0.35286999999999996,0.32274200000000003,0.827536,0.813158,0.809779,0.9293799999999999,0.902266,0.911495,47.70942700000001,0.026108795510999996,-4.9352779e-05,-0.00039613121899999997,-0.000396558017,0.941203023706,0.0007852760940000001,0.000722269029,-0.001391178163,0.002280442402,0.0034390848550000003,-0.003307908983,-0.0012733488610000001,-0.001325747938,0.000272186893,0.005280357287,0.0004912887400000001,-0.001829188284,0.000105144098,0.008573022205000001,-0.073487031872,-0.0028840979960000003,-0.001792027449,0.001326059291,0.001507107651,0.117150414552,0.004909182487,-0.0009700279420000001,0.004750768421,0.002383533982,0.021599835716,0.0031974704009999997,0.003600269949,0.006251622391,0.004324692534,0.009963762547,-0.005088147849,-0.0091776341,-0.0064936976580000005,-0.001726858917,-0.119189937998,0.001113123626,-0.010339375452000001,0.0007689613069999999,-0.024660052466,0.28058401441999997,-0.0014123574059999998,-0.007409949205,-0.000280612647,0.003465383322,0.818972228893,-0.008338924115,0.0021951715960000003,0.008135000485,-0.005608875829999999,-0.526792638004,-0.018108050289,-0.0038283882399999998,-0.015767564082,-0.010011311075000001,-0.024232360988,0.000554725328,0.002070023412,0.005104636757,0.016823207377,0.271187291614,0.0059536836679999995,0.019406890929,0.0073220253520000006,-0.056992354187,-0.05782437943199999,-0.000175144623,-0.002339980512,-0.019133783943,0.003482058378,0.00313616105,-0.003855413957,-0.019060219505,-0.006951209956,-0.012689551605,-0.293931496995,-7.4387245e-05,-0.0101754067,-0.001908162077,0.19410259383099998,-0.46052855679
343,4,1600,300,0.2,0.001,0.001,85,25,25,1,sigmoid,sigmoid,0.302272,0.328338,0.314979,0.8647100000000001,0.841303,0.8201940000000001,0.931807,0.917564,0.910911,47.768584,-0.03492926886,-0.000455961031,-0.003876788026,-0.009833935997,0.456997482904,0.004862948121,-0.001911963852,-0.000634459646,-0.004278386644,-0.012289975554,-0.008315352923,0.002472296474,-0.001176022426,-0.001586481363,0.001801182183,-0.0073244149099999985,0.001298685492,0.006366303058,-0.0007382061860000001,0.028407449668,0.003934076189,-0.004826755171,0.002444024763,-0.0017890718969999996,-0.009472177697,0.003531761301,0.008299572576,-0.000907146705,0.004844361143,-0.00188497562,-0.006747916973,-0.002555036013,-0.001759998201,-0.01686843458,-0.026773815958,-0.001762717696,-0.003913192062,0.003252268004,-0.003151403491,-0.297953458769,0.013310040235,-0.010198585639,-0.001708770404,0.010319601977,0.6982606862270001,-0.007151766639000002,-0.005845779819,-0.000316577199,0.001340818109,0.107658394745,0.0017144224669999998,-0.006487973974,-9.228796e-05,0.001513243516,0.066659609621,-0.010324014617,-0.000121859917,4.6143009e-05,0.012773132283999998,-0.00220227602,0.000985090321,-0.00464507851,-0.005446205049,0.008670247892,0.09969661917,-0.004362138288,-0.014671949835999997,0.003701681803,0.041009880336,-0.006510319454,-0.004385075665,-0.006232523958000001,-0.007881672575,-0.002233153342,-0.043361467708,-0.001923736557,-0.001178958353,0.007869588411,-0.024959176413,-0.367367262287,-0.003246040649,-0.007858910398,0.00077696424,-0.233242555388,-0.288422294493
344,5,1600,300,0.2,0.001,0.001,85,25,25,1,sigmoid,sigmoid,0.31608800000000004,0.353705,0.31898200000000004,0.8408,0.81391,0.816209,0.932272,0.902856,0.9108200000000001,48.659008,0.031712413232999996,-0.000499006777,-0.00192862952,0.013281922738000001,0.780452231744,-0.004688686508,-0.007934187738,0.000296543344,0.000109017319,-0.063697453189,-0.002524680649,-0.003844453845,-0.002437957242,-0.001427912253,0.014122204846999999,-0.0048645281770000005,0.001297110145,-0.004556397799,0.0019594958119999997,-0.018689521189,0.001704102116,0.005751116733000001,-0.003850632181,0.005060514759,-0.063642957713,-0.002429488789,0.007564910603999999,0.005146249461,0.003983427671,0.011959183383,0.004311086576999999,-0.010197888827,0.000703364877,-0.00950671369,-0.008758037584000001,-0.000471757646,0.0069601487069999995,-0.0038216239270000003,0.000781537915,-0.045989274446,0.009043648506,0.009413987199000001,0.001421913679,-0.02773331272,-0.064478282418,0.00260428005,0.0016504104380000001,0.000130074947,0.004147777276,-0.449130652206,0.004079749342,-0.0066919248950000005,-1.2791133e-05,0.013675674098000001,0.005516270841,0.009436224852999999,-0.006512930085,0.00031231244,-0.0017487114689999999,-0.066032629194,0.001098113467,0.000340455835,0.002612742396,-0.004492441126,-0.219367461545,0.0021630019760000003,-0.009322652207,0.007185142354,-0.043121276847,-0.110152497247,0.002107220236,0.00604816586,0.019080148826999998,0.023119633934,-0.022722147006,0.0019075460730000001,-0.00263485685,-0.001027125279,-0.035751284366,-0.255101912788,-0.0009340880699999998,-0.018245518407000002,0.013216066307,-0.068321706993,-0.146564432553
